,0,1,2,3,4,5,6,7,8,9,10
25,0.0,8.813,16.764,23.074,27.125,28.521,27.125,23.074,16.764,8.813,0.0
26,0.0,8.382,15.943,21.944,25.797,27.125,25.797,21.944,15.943,8.382,0.0
27,0.0,7.972,15.163,20.87,24.534,25.797,24.534,20.87,15.163,7.972,0.0
28,0.0,7.582,14.421,19.849,23.334,24.534,23.334,19.849,14.421,7.582,0.0
29,0.0,7.211,13.715,18.877,22.192,23.334,22.192,18.877,13.715,7.211,0.0
30,0.0,6.858,13.044,17.953,21.106,22.192,21.106,17.953,13.044,6.858,0.0
31,0.0,6.522,12.406,17.075,20.073,21.106,20.073,17.075,12.406,6.522,0.0
32,0.0,6.203,11.798,16.239,19.09,20.073,19.09,16.239,11.798,6.203,0.0
33,0.0,5.899,11.221,15.444,18.156,19.09,18.156,15.444,11.221,5.899,0.0
34,0.0,5.61,10.672,14.688,17.267,18.156,17.267,14.688,10.672,5.61,0.0
35,0.0,5.336,10.149,13.969,16.422,17.267,16.422,13.969,10.149,5.336,0.0
36,0.0,5.075,9.653,13.286,15.618,16.422,15.618,13.286,9.653,5.075,0.0
37,0.0,4.826,9.18,12.635,14.854,15.618,14.854,12.635,9.18,4.826,0.0
38,0.0,4.59,8.731,12.017,14.127,14.854,14.127,12.017,8.731,4.59,0.0
39,0.0,4.365,8.304,11.429,13.435,14.127,13.435,11.429,8.304,4.365,0.0
40,0.0,4.152,7.897,10.87,12.778,13.435,12.778,10.87,7.897,4.152,0.0
41,0.0,3.949,7.511,10.338,12.153,12.778,12.153,10.338,7.511,3.949,0.0
42,0.0,3.755,7.143,9.832,11.558,12.153,11.558,9.832,7.143,3.755,0.0
43,0.0,3.572,6.793,9.35,10.992,11.558,10.992,9.35,6.793,3.572,0.0
44,0.0,3.397,6.461,8.893,10.454,10.992,10.454,8.893,6.461,3.397,0.0
45,0.0,3.23,6.145,8.458,9.942,10.454,9.942,8.458,6.145,3.23,0.0
46,0.0,3.072,5.844,8.044,9.456,9.942,9.456,8.044,5.844,3.072,0.0
47,0.0,2.922,5.558,7.65,8.993,9.456,8.993,7.65,5.558,2.922,0.0
48,0.0,2.779,5.286,7.275,8.553,8.993,8.553,7.275,5.286,2.779,0.0
49,0.0,2.643,5.027,6.919,8.134,8.553,8.134,6.919,5.027,2.643,0.0
50,0.0,2.514,4.781,6.581,7.736,8.134,7.736,6.581,4.781,2.514,0.0
51,0.0,2.391,4.547,6.259,7.357,7.736,7.357,6.259,4.547,2.391,0.0
52,0.0,2.274,4.325,5.952,6.997,7.357,6.997,5.952,4.325,2.274,0.0
53,0.0,2.162,4.113,5.661,6.655,6.997,6.655,5.661,4.113,2.162,0.0
54,0.0,2.056,3.912,5.384,6.329,6.655,6.329,5.384,3.912,2.056,0.0
55,0.0,1.956,3.72,5.12,6.019,6.329,6.019,5.12,3.72,1.956,0.0
56,0.0,1.86,3.538,4.87,5.725,6.019,5.725,4.87,3.538,1.86,0.0
57,0.0,1.769,3.365,4.631,5.445,5.725,5.445,4.631,3.365,1.769,0.0
58,0.0,1.682,3.2,4.405,5.178,5.445,5.178,4.405,3.2,1.682,0.0
59,0.0,1.6,3.044,4.189,4.925,5.178,4.925,4.189,3.044,1.6,0.0
60,0.0,1.522,2.895,3.984,4.684,4.925,4.684,3.984,2.895,1.522,0.0
61,0.0,1.447,2.753,3.789,4.454,4.684,4.454,3.789,2.753,1.447,0.0
62,0.0,1.376,2.618,3.604,4.236,4.454,4.236,3.604,2.618,1.376,0.0
63,0.0,1.309,2.49,3.427,4.029,4.236,4.029,3.427,2.49,1.309,0.0
64,0.0,1.245,2.368,3.26,3.832,4.029,3.832,3.26,2.368,1.245,0.0
65,0.0,1.184,2.252,3.1,3.644,3.832,3.644,3.1,2.252,1.184,0.0
66,0.0,1.126,2.142,2.948,3.466,3.644,3.466,2.948,2.142,1.126,0.0
67,0.0,1.071,2.037,2.804,3.296,3.466,3.296,2.804,2.037,1.071,0.0
68,0.0,1.019,1.938,2.667,3.135,3.296,3.135,2.667,1.938,1.019,0.0
